Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
423,Mitchell Robinson\robinmi01,C,22,NYK,31,29,27.5,3.7,5.7,.653,0.0,0.0,,3.7,5.7,.653,.653,0.8,1.7,.491,3.6,4.5,8.1,0.5,1.1,1.5,0.8,2.8,8.3
424,Isaiah Roby\robyis01,PF,22,OKC,46,26,23.5,3.4,6.9,.497,0.5,1.7,.329,2.9,5.2,.550,.536,1.4,2.0,.710,1.6,4.1,5.7,1.8,0.8,0.7,1.8,2.7,8.8
425,Rajon Rondo\rondora01,PG,34,TOT,34,2,15.6,1.8,4.4,.419,0.7,1.8,.393,1.1,2.6,.437,.500,0.2,0.2,.875,0.3,1.8,2.1,3.9,0.7,0.1,1.6,1.2,4.6
425,Rajon Rondo\rondora01,PG,34,ATL,27,2,14.9,1.6,4.1,.400,0.6,1.7,.378,1.0,2.4,.415,.477,0.0,0.1,.500,0.1,1.9,2.0,3.5,0.7,0.1,1.4,0.9,3.9
425,Rajon Rondo\rondora01,PG,34,LAC,7,0,18.6,2.6,5.4,.474,1.0,2.3,.438,1.6,3.1,.500,.566,0.9,0.9,1.000,0.7,1.6,2.3,5.1,0.9,0.1,2.0,2.1,7.0
426,Derrick Rose\rosede01,PG,32,TOT,36,3,24.0,5.0,11.8,.427,0.9,2.6,.348,4.1,9.2,.449,.465,2.2,2.6,.849,0.4,1.8,2.2,4.0,1.1,0.4,1.6,1.0,13.1
426,Derrick Rose\rosede01,PG,32,DET,15,0,22.8,5.3,12.3,.429,0.9,2.6,.333,4.4,9.7,.455,.465,2.8,3.3,.840,0.4,1.5,1.9,4.2,1.2,0.3,1.9,1.1,14.2
426,Derrick Rose\rosede01,PG,32,NYK,21,3,24.9,4.9,11.4,.425,0.9,2.5,.358,4.0,8.9,.444,.465,1.8,2.0,.860,0.4,2.0,2.4,3.8,1.0,0.6,1.3,1.0,12.4
427,Terrence Ross\rosste01,SG,29,ORL,46,2,29.3,5.5,13.4,.412,1.9,5.7,.337,3.6,7.7,.469,.485,2.6,3.0,.870,0.3,3.1,3.4,2.3,1.0,0.5,1.6,1.9,15.6
428,Terry Rozier\roziete01,SG,26,CHO,52,52,33.9,7.4,15.8,.465,3.3,8.2,.400,4.1,7.6,.535,.569,2.4,2.9,.828,0.6,3.6,4.2,3.7,1.3,0.4,1.9,1.8,20.4
429,Ricky Rubio\rubiori01,PG,30,MIN,53,38,26.2,2.7,7.2,.380,0.9,2.9,.301,1.9,4.3,.432,.440,2.1,2.5,.862,0.4,2.8,3.2,6.6,1.4,0.1,1.8,2.2,8.5
430,D'Angelo Russell\russeda01,PG,24,MIN,27,19,27.9,6.8,15.7,.431,2.9,7.1,.404,3.9,8.6,.453,.522,2.9,3.6,.802,0.4,2.1,2.5,4.9,1.0,0.4,2.7,1.9,19.3
431,Domantas Sabonis\sabondo01,PF,24,IND,52,52,35.8,7.5,14.4,.519,0.8,2.6,.296,6.7,11.8,.567,.545,4.2,5.7,.731,2.6,9.0,11.6,6.0,1.1,0.6,3.3,3.4,19.9
432,Luka Šamanić\samanlu01,PF,21,SAS,22,2,9.3,1.5,3.1,.471,0.4,1.5,.273,1.0,1.6,.657,.537,0.5,1.0,.524,0.5,1.7,2.2,0.5,0.2,0.2,0.6,1.2,3.8
433,JaKarr Sampson\sampsja02,PF,27,IND,20,0,7.7,1.3,2.8,.473,0.1,0.4,.250,1.2,2.4,.511,.491,0.7,1.0,.700,0.7,1.4,2.1,0.1,0.1,0.4,0.4,1.1,3.4
434,Dario Šarić\saricda01,C,26,PHO,37,0,17.9,3.5,7.5,.464,1.1,2.9,.367,2.4,4.5,.527,.536,1.7,2.0,.863,1.1,3.1,4.2,1.3,0.6,0.1,1.2,1.9,9.7
435,Tomáš Satoranský\satorto01,SG,29,CHI,43,18,24.0,3.0,5.9,.510,0.8,2.1,.389,2.2,3.8,.577,.579,1.1,1.3,.907,0.5,2.0,2.5,5.1,0.8,0.3,1.7,1.6,8.0
436,Dennis Schröder\schrode01,SG,27,LAL,52,52,31.7,5.2,12.1,.431,1.1,3.3,.343,4.1,8.9,.463,.477,3.7,4.3,.844,0.5,3.0,3.4,5.4,1.2,0.2,2.8,2.6,15.2
437,Mike Scott\scottmi01,PF,32,PHI,37,9,17.5,1.5,4.2,.357,1.1,3.3,.333,0.4,0.9,.441,.487,0.2,0.3,.600,0.2,2.4,2.6,0.6,0.5,0.2,0.5,1.5,4.3
438,Collin Sexton\sextoco01,SG,22,CLE,46,46,35.8,8.8,18.4,.481,1.6,4.4,.363,7.3,14.0,.518,.524,5.0,6.1,.817,0.8,2.0,2.8,4.1,1.1,0.1,2.6,2.7,24.2
439,Landry Shamet\shamela01,SG,23,BRK,45,2,20.8,2.8,7.0,.406,2.0,5.2,.397,0.8,1.8,.434,.552,1.0,1.2,.852,0.2,1.6,1.8,1.3,0.5,0.1,0.8,1.3,8.8
440,Iman Shumpert\shumpim01,SG,30,BRK,2,0,5.5,0.5,2.0,.250,0.0,1.5,.000,0.5,0.5,1.000,.250,0.0,0.0,,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0
441,Pascal Siakam\siakapa01,PF,26,TOR,46,46,35.6,7.5,16.5,.453,1.2,4.2,.282,6.3,12.3,.512,.489,4.7,5.5,.839,1.7,5.5,7.2,4.7,1.1,0.7,2.2,3.3,20.8
442,Chris Silva\silvach01,PF,24,TOT,13,0,6.7,0.8,1.2,.667,0.1,0.1,1.000,0.7,1.1,.643,.700,0.8,1.2,.733,0.5,1.5,2.0,0.5,0.1,0.4,0.8,1.6,2.5
442,Chris Silva\silvach01,PF,24,MIA,11,0,7.5,0.8,1.2,.692,0.1,0.1,1.000,0.7,1.1,.667,.731,1.0,1.4,.733,0.6,1.6,2.3,0.5,0.1,0.5,0.8,1.8,2.7
442,Chris Silva\silvach01,PF,24,SAC,2,0,2.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0
443,Ben Simmons\simmobe01,PG,24,PHI,48,48,33.3,5.7,10.4,.545,0.1,0.2,.300,5.6,10.2,.550,.548,3.4,5.5,.615,1.7,6.0,7.6,7.1,1.6,0.6,3.3,3.1,14.8
444,Anfernee Simons\simonan01,SG,21,POR,47,0,16.2,2.6,6.5,.407,1.9,4.6,.419,0.7,1.9,.378,.554,0.7,0.9,.825,0.2,2.1,2.2,1.4,0.2,0.1,0.7,1.6,7.9
445,Deividas Sirvydis\sirvyde01,SG,20,DET,13,0,2.8,0.3,1.2,.267,0.3,0.9,.333,0.0,0.2,.000,.400,0.2,0.3,.750,0.0,0.6,0.6,0.2,0.1,0.0,0.2,0.2,1.2
446,Alen Smailagić\smailal01,PF,20,GSW,7,1,5.1,0.9,1.9,.462,0.3,0.7,.400,0.6,1.1,.500,.538,0.1,0.6,.250,0.4,0.4,0.9,0.1,0.0,0.4,0.0,0.9,2.1
447,Marcus Smart\smartma01,PG,26,BOS,37,34,32.5,4.3,10.3,.414,2.0,5.6,.359,2.2,4.7,.480,.512,2.8,3.6,.789,0.6,2.6,3.2,5.6,1.5,0.5,1.8,2.5,13.4
448,Dennis Smith Jr.\smithde03,PG,23,TOT,23,9,18.3,2.5,6.3,.400,0.8,2.5,.328,1.7,3.8,.448,.466,0.8,1.1,.731,0.5,1.9,2.4,3.3,1.0,0.6,1.1,1.6,6.7
448,Dennis Smith Jr.\smithde03,PG,23,NYK,3,0,9.3,0.7,3.3,.200,0.0,1.3,.000,0.7,2.0,.333,.200,1.7,2.0,.833,0.0,0.7,0.7,1.0,1.0,0.0,0.3,1.3,3.0
448,Dennis Smith Jr.\smithde03,PG,23,DET,20,9,19.6,2.8,6.8,.415,1.0,2.7,.352,1.9,4.1,.457,.485,0.7,1.0,.700,0.6,2.1,2.7,3.7,1.0,0.7,1.3,1.7,7.3
