Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
488,Nikola Vučević\vucevni01,C,30,ORL,44,44,34.1,9.9,20.6,.480,2.7,6.5,.406,7.3,14.1,.515,.545,2.1,2.5,.827,2.0,9.8,11.8,3.8,1.0,0.6,1.9,1.8,24.5
488,Nikola Vučević\vucevni01,C,30,CHI,12,12,32.0,9.1,18.3,.498,2.4,5.3,.453,6.7,12.9,.516,.564,2.0,2.3,.857,2.3,7.9,10.2,3.5,1.0,1.0,1.2,2.4,22.6
489,Dean Wade\wadede01,PF,24,CLE,47,13,17.1,2.0,4.5,.437,1.1,3.1,.375,0.8,1.5,.565,.563,0.3,0.4,.762,0.5,2.6,3.1,1.1,0.4,0.4,0.4,1.1,5.4
490,Moritz Wagner\wagnemo01,C,23,TOT,34,14,12.8,1.9,4.0,.485,0.4,1.4,.313,1.5,2.6,.580,.540,1.2,1.6,.778,0.5,2.2,2.7,1.1,0.6,0.3,0.9,2.1,5.6
490,Moritz Wagner\wagnemo01,C,23,WAS,25,13,15.0,2.5,4.9,.508,0.5,1.7,.310,2.0,3.2,.613,.561,1.6,2.1,.788,0.5,2.4,2.9,1.3,0.9,0.3,0.8,2.5,7.1
490,Moritz Wagner\wagnemo01,C,23,BOS,9,1,6.8,0.4,1.6,.286,0.2,0.7,.333,0.2,0.9,.250,.357,0.1,0.2,.500,0.3,1.8,2.1,0.7,0.0,0.1,1.0,1.1,1.2
491,Kemba Walker\walkeke02,PG,30,BOS,36,36,31.2,6.0,15.1,.400,2.7,7.9,.344,3.3,7.2,.461,.490,2.8,2.9,.943,0.3,3.5,3.8,5.1,1.1,0.3,2.1,1.4,17.6
492,Lonnie Walker\walkelo01,SG,22,SAS,42,30,25.3,4.3,10.1,.426,1.7,4.7,.357,2.6,5.4,.485,.508,1.0,1.3,.800,0.2,2.4,2.6,1.6,0.5,0.3,1.0,1.9,11.3
493,John Wall\walljo01,PG,30,HOU,37,37,32.1,7.4,18.1,.405,2.1,6.3,.328,5.3,11.9,.446,.462,3.8,5.2,.734,0.5,2.8,3.2,6.8,1.1,0.8,3.5,1.2,20.6
494,Brad Wanamaker\wanambr01,PG,31,TOT,49,0,16.8,1.8,4.9,.368,0.3,1.6,.203,1.5,3.3,.450,.402,1.4,1.6,.872,0.2,1.4,1.7,2.8,0.7,0.2,1.1,1.5,5.3
494,Brad Wanamaker\wanambr01,PG,31,GSW,39,0,16.0,1.6,4.4,.353,0.3,1.6,.213,1.2,2.9,.429,.390,1.3,1.4,.893,0.2,1.5,1.7,2.5,0.7,0.2,0.9,1.4,4.7
494,Brad Wanamaker\wanambr01,PG,31,CHO,10,0,19.8,2.7,6.6,.409,0.3,1.8,.167,2.4,4.8,.500,.432,1.8,2.2,.818,0.4,1.3,1.7,3.8,0.8,0.2,1.9,1.9,7.5
495,T.J. Warren\warretj01,SF,27,IND,4,4,29.3,6.8,12.8,.529,0.0,1.8,.000,6.8,11.0,.614,.529,2.0,2.5,.800,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5
496,P.J. Washington\washipj01,PF,22,CHO,48,48,29.4,4.1,9.7,.426,1.4,3.8,.370,2.8,6.0,.462,.498,1.9,2.4,.791,1.4,5.0,6.4,2.7,1.0,1.3,2.1,2.7,11.6
497,Yuta Watanabe\watanyu01,SF,26,TOR,38,1,12.9,1.4,3.1,.445,0.6,1.5,.397,0.8,1.6,.492,.542,0.4,0.5,.842,0.8,2.5,3.3,0.6,0.5,0.4,0.4,1.1,3.8
498,Tremont Waters\watertr01,PG,23,BOS,16,1,7.3,0.8,2.4,.316,0.4,1.1,.353,0.4,1.3,.286,.395,0.7,0.8,.917,0.2,0.4,0.6,2.2,0.6,0.0,0.9,0.4,2.6
499,Paul Watson\watsopa01,SF,26,TOR,26,1,10.5,1.5,2.8,.528,1.2,2.2,.517,0.3,0.5,.571,.736,0.2,0.3,.625,0.1,1.5,1.6,0.5,0.2,0.1,0.3,1.3,4.3
500,Quinndary Weatherspoon\weathqu01,SG,24,SAS,15,0,4.7,0.3,1.0,.333,0.0,0.1,.000,0.3,0.9,.385,.333,0.5,0.5,.875,0.1,0.3,0.4,0.3,0.3,0.1,0.5,0.7,1.1
501,Russell Westbrook\westbru01,PG,32,WAS,48,48,35.5,8.4,19.0,.442,1.3,4.2,.312,7.1,14.8,.479,.476,4.0,6.4,.627,1.6,9.3,10.9,10.8,1.3,0.4,5.0,2.7,22.1
502,Coby White\whiteco01,PG,20,CHI,52,37,30.6,5.3,12.8,.411,2.1,6.1,.343,3.2,6.7,.473,.493,1.8,2.0,.913,0.4,3.8,4.2,4.4,0.5,0.2,2.2,2.6,14.4
503,Derrick White\whitede01,SG,26,SAS,30,26,29.6,5.0,12.4,.404,2.2,6.6,.340,2.8,5.8,.477,.495,2.6,3.1,.849,0.3,2.4,2.7,3.3,0.7,1.1,1.4,2.7,14.9
504,Hassan Whiteside\whiteha01,C,31,SAC,33,1,14.8,3.4,6.1,.565,0.0,0.0,.000,3.4,6.0,.568,.565,1.2,2.3,.520,1.6,4.3,5.9,0.6,0.2,1.4,1.1,1.9,8.0
505,Greg Whittington\whittgr01,PF,27,DEN,4,0,3.0,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,Andrew Wiggins\wiggian01,PF,25,GSW,56,56,32.6,6.9,14.4,.475,2.0,5.2,.387,4.8,9.2,.525,.545,2.4,3.4,.695,1.0,3.8,4.8,2.4,0.9,0.9,1.8,2.2,18.1
507,Grant Williams\willigr01,PF,22,BOS,48,8,18.6,1.6,3.7,.438,0.8,2.0,.383,0.9,1.7,.500,.540,0.4,0.8,.528,0.8,2.1,2.9,1.0,0.6,0.4,0.9,2.6,4.4
508,Kenrich Williams\willike04,PF,26,OKC,56,10,20.8,3.0,5.8,.525,0.7,1.6,.429,2.3,4.2,.562,.585,0.5,0.9,.563,1.3,2.9,4.2,2.2,0.7,0.2,1.0,2.1,7.3
509,Lou Williams\willilo02,PG,34,TOT,51,3,22.2,4.3,10.3,.422,1.1,2.8,.394,3.2,7.5,.432,.475,2.3,2.6,.865,0.3,1.7,2.0,3.5,0.9,0.1,1.6,1.0,12.0
509,Lou Williams\willilo02,PG,34,LAC,42,3,21.9,4.3,10.2,.421,1.1,2.8,.378,3.2,7.4,.437,.473,2.5,2.8,.866,0.4,1.7,2.1,3.4,0.9,0.1,1.6,1.0,12.1
509,Lou Williams\willilo02,PG,34,ATL,9,0,23.9,4.4,10.4,.426,1.2,2.6,.478,3.2,7.9,.408,.484,1.3,1.6,.857,0.2,1.3,1.6,3.6,0.6,0.1,1.6,0.8,11.4
510,Patrick Williams\willipa01,PF,19,CHI,54,54,28.5,3.6,7.6,.476,0.8,2.0,.382,2.9,5.6,.510,.527,1.3,1.6,.764,0.9,3.7,4.7,1.3,0.9,0.6,1.4,2.0,9.3
511,Robert Williams\williro04,C,23,BOS,47,10,18.9,3.7,5.1,.720,0.0,0.0,.000,3.7,5.0,.726,.720,0.9,1.4,.646,2.6,4.4,7.0,1.8,0.8,1.8,1.0,2.1,8.2
512,Zion Williamson\willizi01,PF,20,NOP,51,51,32.9,10.3,16.7,.615,0.2,0.5,.333,10.1,16.1,.625,.621,6.0,8.6,.699,2.5,4.6,7.1,3.6,0.9,0.7,2.6,2.3,26.7
513,D.J. Wilson\wilsodj01,PF,24,TOT,27,0,10.5,1.6,4.0,.404,0.8,2.3,.361,0.8,1.8,.458,.505,0.3,0.6,.600,0.4,2.2,2.6,0.4,0.2,0.4,0.6,1.3,4.4
513,D.J. Wilson\wilsodj01,PF,24,MIL,12,0,8.8,1.3,3.6,.372,0.8,2.3,.357,0.5,1.3,.400,.488,0.1,0.2,.500,0.3,1.8,2.1,0.3,0.1,0.3,0.3,1.1,3.6
513,D.J. Wilson\wilsodj01,PF,24,HOU,15,0,11.9,1.9,4.4,.424,0.8,2.2,.364,1.1,2.2,.485,.515,0.5,0.9,.615,0.5,2.5,3.1,0.5,0.3,0.5,0.7,1.4,5.1
514,Dylan Windler\windldy01,SF,24,CLE,31,0,16.5,1.8,4.2,.438,0.8,2.5,.338,1.0,1.7,.585,.538,0.7,0.9,.778,0.6,2.8,3.5,1.1,0.6,0.4,1.0,1.2,5.2
515,Justise Winslow\winslju01,SF,24,MEM,16,0,21.1,3.1,9.1,.342,0.3,2.6,.122,2.8,6.6,.429,.360,0.6,1.0,.563,0.8,4.0,4.8,1.8,0.8,0.4,1.6,2.0,7.1
516,Cassius Winston\winstca01,PG,22,WAS,15,0,5.7,0.7,1.7,.385,0.5,1.0,.467,0.2,0.7,.273,.519,0.3,0.4,.833,0.0,0.6,0.6,0.7,0.1,0.1,0.1,0.5,2.1
517,James Wiseman\wisemja01,C,19,GSW,39,27,21.4,4.9,9.4,.519,0.3,1.0,.316,4.6,8.5,.542,.535,1.4,2.2,.628,1.4,4.4,5.8,0.7,0.3,0.9,1.5,3.1,11.5
518,Christian Wood\woodch01,C,25,HOU,33,33,31.7,8.2,15.3,.532,1.8,4.6,.382,6.4,10.7,.596,.589,2.9,4.5,.647,1.8,7.6,9.4,1.5,0.8,1.2,1.8,2.1,21.0
519,Robert Woodard\woodaro01,SF,21,SAC,11,0,2.6,0.6,1.3,.500,0.1,0.4,.250,0.5,0.9,.600,.536,0.3,0.7,.375,0.3,0.7,1.0,0.0,0.0,0.2,0.1,0.2,1.6
520,Delon Wright\wrighde01,SG-PG,28,TOT,47,31,27.1,3.5,7.7,.457,0.9,2.4,.357,2.7,5.3,.502,.512,1.8,2.3,.804,1.0,3.1,4.1,4.3,1.5,0.4,1.2,1.1,9.7
520,Delon Wright\wrighde01,SG,28,DET,36,31,29.2,3.8,8.1,.464,0.9,2.5,.348,2.9,5.7,.515,.517,2.0,2.5,.789,1.0,3.5,4.6,5.0,1.6,0.5,1.3,1.3,10.4
520,Delon Wright\wrighde01,PG,28,SAC,11,0,20.3,2.6,6.2,.426,0.8,2.1,.391,1.8,4.1,.444,.493,1.4,1.5,.882,0.7,1.8,2.5,1.9,1.1,0.0,0.8,0.7,7.5
521,Thaddeus Young\youngth01,PF,32,CHI,51,17,24.6,5.6,9.6,.579,0.1,0.6,.241,5.5,9.1,.600,.586,1.0,1.5,.620,2.5,3.8,6.3,4.2,1.1,0.6,2.0,2.4,12.3
522,Trae Young\youngtr01,PG,22,ATL,51,51,34.3,7.7,17.8,.431,2.3,6.4,.358,5.4,11.4,.472,.495,7.6,8.7,.870,0.6,3.3,3.9,9.5,0.8,0.2,4.3,1.9,25.2
523,Cody Zeller\zelleco01,C,28,CHO,35,20,21.4,3.7,6.8,.540,0.1,0.7,.125,3.6,6.1,.586,.546,1.7,2.3,.734,2.7,4.5,7.2,2.0,0.7,0.4,1.0,2.4,9.1
524,Ivica Zubac\zubaciv01,C,23,LAC,58,19,22.2,3.5,5.4,.651,0.0,0.1,.000,3.5,5.3,.657,.651,1.9,2.3,.809,2.7,4.6,7.4,1.2,0.4,0.9,1.1,2.6,8.9
